Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2020,Henry Ruggs III,21,,Alabama,71,188,4.27,42,,131,,,Alabama,SEC,3,12,40,746,18.7,7,98,1716,17.5,24,0,0,0
2020,Jerry Jeudy,20,,Alabama,73,193,4.45,35,,120,,4.53,Alabama,SEC,3,13,77,1163,15.1,10,159,2742,17.2,26,0,0,0
2020,CeeDee Lamb,20,,Oklahoma,74,198,4.5,34.5,11,124,,,Oklahoma,Big 12,3,13,62,1327,21.4,14,173,3292,19,32,0,0,0
2020,Jalen Reagor,21,,TCU,71,206,4.47,42,17,138,7.31,4.46,Texas Christian,Big 12,3,12,43,611,14.2,5,148,2248,15.2,22,0,0,0
2020,Justin Jefferson,20,,LSU,73,202,4.43,37.5,,126,,,LSU,SEC,3,15,111,1540,13.9,18,165,2415,14.6,24,0,0,0
2020,Brandon Aiyuk,21,,Arizona State,72,205,4.5,40,11,128,,,Arizona State,Pac-12,4,12,65,1192,18.3,8,98,1666,17,11,0,0,0
2020,Tee Higgins,21,,Clemson,76,216,,,,,,,Clemson,ACC,3,15,59,1167,19.8,13,135,2448,18.1,27,0,0,0
2020,Michael Pittman,22,,USC,76,223,4.52,36.5,13,121,6.96,4.14,USC,Pac-12,4,13,101,1275,12.6,11,171,2519,14.7,19,0,0,0
2020,Laviska Shenault Jr.,21,,Colorado,73,227,4.58,,17,,,,Colorado,Pac-12,3,11,56,764,13.6,4,149,1943,13,10,0,0,0
2020,KJ Hamler,20,,Penn State,69,178,,,15,,,,Penn State,Big Ten,3,13,56,904,16.1,8,98,1658,16.9,13,0,0,0
2020,Chase Claypool,21,,Notre Dame,76,238,4.42,40.5,19,126,,,Notre Dame,Ind,4,13,66,1037,15.7,13,150,2159,14.4,19,0,0,0
2020,Van Jefferson,23,,Florida,73,200,,,,,,,Florida,SEC,4,12,49,657,13.4,6,175,2159,12.3,16,0,0,0
2020,Denzel Mims,22,,Baylor,75,207,4.38,38.5,16,131,6.66,4.43,Baylor,Big 12,4,13,66,1020,15.5,12,186,2925,15.7,28,0,0,0
2020,Antonio Gibson,21,,Memphis,72,228,4.39,35,16,118,,,Memphis,American,4,14,38,735,19.3,8,44,834,19,10,0,0,0
2020,Lynn Bowden,22,,Kentucky,71,204,,,13,,,,Kentucky,SEC,3,13,185,1468,7.9,13,206,1530,7.4,13,0,0,0
2020,Bryan Edwards,21,,South Carolina,75,212,,,,,,,South Carolina,SEC,4,10,71,816,11.5,6,234,3045,13,22,0,0,0
2020,Devin Duvernay,22,,Texas,70,200,4.39,35.5,,123,7.13,4.2,Texas,Big 12,4,13,106,1386,13.1,9,176,2468,14,16,0,0,0
2019,Marquise Brown,21,8,Oklahoma,69,166,,,,,,,Oklahoma,Big 12,3,12,75,1318,17.6,10,132,2413,18.3,17,1,8,64
2019,N'Keal Harry,21,1,Arizona State,74,228,4.53,38.5,27,122,,,Arizona State,Pac-12,3,12,73,1088,14.9,9,213,2889,13.6,22,1,1,1
2019,Deebo Samuel,23,9,South Carolina,71,214,4.48,39,15,122,7.03,4.14,South Carolina,SEC,4,12,62,882,14.2,11,148,2076,14,16,1,9,81
2019,A.J. Brown,21,10,Mississippi,72,226,4.49,36.5,19,120,,,Ole Miss,SEC,3,12,85,1320,15.5,6,189,2984,15.8,19,1,10,100
2019,Mecole Hardman,20,7,Georgia,70,187,4.33,36.5,17,119,,,Georgia,SEC,3,14,35,543,15.5,7,60,961,16,11,1,7,49
2019,J.J. Arcega-Whiteside,22,1,Stanford,74,225,,,,,,,Stanford,Pac-12,4,12,63,1059,16.8,14,135,2219,16.4,28,1,1,1
